Epoch:188   Accuracy:94.56
Epoch:189   Accuracy:94.54
Epoch:190   Accuracy:94.49
Epoch:191   Accuracy:94.44
Epoch:192   Accuracy:94.59
Epoch:193   Accuracy:94.41
Epoch:194   Accuracy:94.52
Epoch:195   Accuracy:94.61
Epoch:196   Accuracy:94.58
Epoch:197   Accuracy:94.76
Epoch:198   Accuracy:94.51
Epoch:199   Accuracy:94.57
Epoch:200   Accuracy:94.57
Epoch:201   Accuracy:94.58
Epoch:202   Accuracy:94.76
Epoch:203   Accuracy:94.65
Epoch:204   Accuracy:94.66
Epoch:205   Accuracy:94.79
Epoch:206   Accuracy:94.66
Epoch:207   Accuracy:94.75
Epoch:208   Accuracy:94.76
Epoch:209   Accuracy:94.60
Epoch:210   Accuracy:94.47
Epoch:211   Accuracy:94.65
Epoch:212   Accuracy:94.67
Epoch:213   Accuracy:94.69
Epoch:214   Accuracy:94.70
Epoch:215   Accuracy:94.75
Epoch:216   Accuracy:94.49
Epoch:217   Accuracy:94.54
Epoch:218   Accuracy:94.52
Epoch:219   Accuracy:94.68
Epoch:220   Accuracy:94.62
Epoch:221   Accuracy:94.66
Epoch:222   Accuracy:94.77
Epoch:223   Accuracy:94.77
Epoch:224   Accuracy:94.59
Epoch:225   Accuracy:94.70
Epoch:226   Accuracy:94.61
Epoch:227   Accuracy:94.55
Epoch:228   Accuracy:94.67
Epoch:229   Accuracy:94.64
Epoch:230   Accuracy:94.62
Epoch:231   Accuracy:94.55
Epoch:232   Accuracy:94.52
Epoch:233   Accuracy:94.38
Epoch:234   Accuracy:94.55
Epoch:235   Accuracy:94.58
Epoch:236   Accuracy:94.69
Epoch:237   Accuracy:94.60
Epoch:238   Accuracy:94.70
Epoch:239   Accuracy:94.44
Epoch:240   Accuracy:94.60
Epoch:241   Accuracy:94.54
Epoch:242   Accuracy:94.46
Epoch:243   Accuracy:94.40
Epoch:244   Accuracy:94.50
Epoch:245   Accuracy:94.45
Epoch:246   Accuracy:94.50
Epoch:247   Accuracy:94.49
Epoch:248   Accuracy:94.38
Epoch:249   Accuracy:94.36
Epoch:250   Accuracy:94.31
Epoch:251   Accuracy:94.28
Epoch:252   Accuracy:94.48
Epoch:253   Accuracy:94.32
Epoch:254   Accuracy:94.47
Epoch:255   Accuracy:94.65
Epoch:256   Accuracy:94.62
Epoch:257   Accuracy:94.49
Epoch:258   Accuracy:94.54
Epoch:259   Accuracy:94.51
Epoch:260   Accuracy:94.53
Epoch:261   Accuracy:94.45
Epoch:262   Accuracy:94.40
Epoch:263   Accuracy:94.62
Epoch:264   Accuracy:94.45
Epoch:265   Accuracy:94.43
Epoch:266   Accuracy:94.70
Epoch:267   Accuracy:94.58
Epoch:268   Accuracy:94.40
Epoch:269   Accuracy:94.45
Epoch:270   Accuracy:94.64
Epoch:271   Accuracy:94.65
Epoch:272   Accuracy:94.71
Epoch:273   Accuracy:94.58
Epoch:274   Accuracy:94.28
Epoch:275   Accuracy:94.41
Epoch:276   Accuracy:94.47
Epoch:277   Accuracy:94.63
Epoch:278   Accuracy:94.47
